"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.77","49.08","TOFINO A","1038210","2021-02-15","2021","02","15","","7.4","","1.8","","4.6","","13.4","","0.0","","","","","","","M","","","31","","42",""
"-125.77","49.08","TOFINO A","1038210","2021-02-16","2021","02","16","","8.8","","1.8","","5.3","","12.7","","0.0","","","","","","","M","","","30","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-02-17","2021","02","17","","7.1","","-1.8","","2.7","","15.3","","0.0","","","","","","","M","","","32","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-02-18","2021","02","18","","6.4","","3.6","","5.0","","13.0","","0.0","","","","","","","M","","","14","","46",""
"-125.77","49.08","TOFINO A","1038210","2021-02-19","2021","02","19","","6.8","","0.7","","3.8","","14.2","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-20","2021","02","20","","7.2","","-1.0","","3.1","","14.9","","0.0","","","","","","","M","","","18","","35",""
"-125.77","49.08","TOFINO A","1038210","2021-02-21","2021","02","21","","8.8","","7.5","","8.2","","9.8","","0.0","","","","","","","M","","","25","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-02-22","2021","02","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-125.77","49.08","TOFINO A","1038210","2021-02-23","2021","02","23","","7.2","","1.0","","4.1","","13.9","","0.0","","","","","","","M","","","29","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-02-24","2021","02","24","","6.2","","-2.1","","2.1","","15.9","","0.0","","","","","","","M","","","14","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-02-25","2021","02","25","","8.1","","2.8","","5.5","","12.5","","0.0","","","","","","","M","","","26","","74",""
"-125.77","49.08","TOFINO A","1038210","2021-02-26","2021","02","26","","8.8","","2.7","","5.8","","12.2","","0.0","","","","","","","M","","","27","","63",""
"-125.77","49.08","TOFINO A","1038210","2021-02-27","2021","02","27","","6.7","","-2.3","","2.2","","15.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-28","2021","02","28","","7.9","","3.3","","5.6","","12.4","","0.0","","","","","","","M","","","15","","44",""
"-125.77","49.08","TOFINO A","1038210","2021-03-01","2021","03","01","","7.8","","3.3","","5.6","","12.4","","0.0","","","","","","","M","","","14","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-03-02","2021","03","02","","6.7","","1.0","","3.9","","14.1","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-03","2021","03","03","","7.1","","3.6","","5.4","","12.6","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-04","2021","03","04","","9.1","","5.3","","7.2","","10.8","","0.0","","","","","","","M","","","12","","93",""
"-125.77","49.08","TOFINO A","1038210","2021-03-05","2021","03","05","","10.0","","5.9","","8.0","","10.0","","0.0","","","","","","","M","","","11","","96",""
"-125.77","49.08","TOFINO A","1038210","2021-03-06","2021","03","06","","8.0","","3.0","","5.5","","12.5","","0.0","","","","","","","M","","","13","","63",""
"-125.77","49.08","TOFINO A","1038210","2021-03-07","2021","03","07","","8.3","","2.3","","5.3","","12.7","","0.0","","","","","","","M","","","15","","80",""
"-125.77","49.08","TOFINO A","1038210","2021-03-08","2021","03","08","","9.8","","2.8","","6.3","","11.7","","0.0","","","","","","","M","","","10","","31",""
"-125.77","49.08","TOFINO A","1038210","2021-03-09","2021","03","09","","9.5","","1.9","","5.7","","12.3","","0.0","","","","","","","M","","","13","","42",""
"-125.77","49.08","TOFINO A","1038210","2021-03-10","2021","03","10","","8.6","","-0.5","","4.1","","13.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-11","2021","03","11","","9.2","","-1.2","","4.0","","14.0","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-12","2021","03","12","","7.8","","1.8","","4.8","","13.2","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-13","2021","03","13","","10.8","","4.7","","7.8","","10.2","","0.0","","","","","","","M","","","14","","55",""
"-125.77","49.08","TOFINO A","1038210","2021-03-14","2021","03","14","","7.6","","2.0","","4.8","","13.2","","0.0","","","","","","","M","","","14","","78",""
"-125.77","49.08","TOFINO A","1038210","2021-03-15","2021","03","15","","7.2","","-2.0","","2.6","","15.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-16","2021","03","16","","8.0","","-1.9","","3.1","","14.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-17","2021","03","17","","9.9","","-0.6","","4.7","","13.3","","0.0","","","","","","","M","","","16","","35",""
"-125.77","49.08","TOFINO A","1038210","2021-03-18","2021","03","18","","10.2","","5.3","","7.8","","10.2","","0.0","","","","","","","M","","","11","","90",""
"-125.77","49.08","TOFINO A","1038210","2021-03-19","2021","03","19","","8.1","","4.8","","6.5","","11.5","","0.0","","","","","","","M","","","14","","75",""
"-125.77","49.08","TOFINO A","1038210","2021-03-20","2021","03","20","","8.4","","0.6","","4.5","","13.5","","0.0","","","","","","","M","","","30","","59",""
"-125.77","49.08","TOFINO A","1038210","2021-03-21","2021","03","21","","8.1","","3.4","","5.8","","12.2","","0.0","","","","","","","M","","","17","","39",""
"-125.77","49.08","TOFINO A","1038210","2021-03-22","2021","03","22","","9.4","","0.5","","5.0","","13.0","","0.0","","","","","","","M","","","29","","43",""
"-125.77","49.08","TOFINO A","1038210","2021-03-23","2021","03","23","","9.0","","0.3","","4.7","","13.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-24","2021","03","24","","11.1","","5.1","","8.1","","9.9","","0.0","","","","","","","M","","","31","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-03-25","2021","03","25","","12.0","","0.8","","6.4","","11.6","","0.0","","","","","","","M","","","32","","35",""
"-125.77","49.08","TOFINO A","1038210","2021-03-26","2021","03","26","","11.2","","0.5","","5.9","","12.1","","0.0","","","","","","","M","","","29","","39",""
"-125.77","49.08","TOFINO A","1038210","2021-03-27","2021","03","27","","7.7","","5.8","","6.8","","11.2","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-03-28","2021","03","28","","8.1","","3.9","","6.0","","12.0","","0.0","","","","","","","M","","","29","","69",""
"-125.77","49.08","TOFINO A","1038210","2021-03-29","2021","03","29","","9.7","","2.8","","6.3","","11.7","","0.0","","","","","","","M","","","29","","58",""
"-125.77","49.08","TOFINO A","1038210","2021-03-30","2021","03","30","","9.5","","-0.5","","4.5","","13.5","","0.0","","","","","","","M","","","31","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-03-31","2021","03","31","","11.6","","0.6","","6.1","","11.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-01","2021","04","01","","9.8","","2.6","","6.2","","11.8","","0.0","","","","","","","M","","","28","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-04-02","2021","04","02","","9.1","","1.4","","5.3","","12.7","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-03","2021","04","03","","9.1","","4.2","","6.7","","11.3","","0.0","","","","","","","M","","","29","","43",""
"-125.77","49.08","TOFINO A","1038210","2021-04-04","2021","04","04","","11.0","","-0.4","","5.3","","12.7","","0.0","","","","","","","M","","","30","","44",""
"-125.77","49.08","TOFINO A","1038210","2021-04-05","2021","04","05","","10.0","","-1.4","","4.3","","13.7","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-06","2021","04","06","","9.7","","1.5","","5.6","","12.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-07","2021","04","07","","8.0","","2.7","","5.4","","12.6","","0.0","","","","","","","M","","","26","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-04-08","2021","04","08","","9.4","","-0.3","","4.6","","13.4","","0.0","","","","","","","M","","","32","","45",""
"-125.77","49.08","TOFINO A","1038210","2021-04-09","2021","04","09","","7.9","","2.5","","5.2","","12.8","","0.0","","","","","","","M","","","28","","55",""
"-125.77","49.08","TOFINO A","1038210","2021-04-10","2021","04","10","","8.9","","-0.8","","4.1","","13.9","","0.0","","","","","","","M","","","30","","59",""
"-125.77","49.08","TOFINO A","1038210","2021-04-11","2021","04","11","","9.7","","-1.6","","4.1","","13.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-12","2021","04","12","","13.7","","-0.3","","6.7","","11.3","","0.0","","","","","","","M","","","28","","32",""
"-125.77","49.08","TOFINO A","1038210","2021-04-13","2021","04","13","","18.1","","3.5","","10.8","","7.2","","0.0","","","","","","","M","","","31","","47",""
"-125.77","49.08","TOFINO A","1038210","2021-04-14","2021","04","14","","18.9","","1.1","","10.0","","8.0","","0.0","","","","","","","M","","","31","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-04-15","2021","04","15","","20.2","","1.9","","11.1","","6.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-16","2021","04","16","","20.8","","3.5","","12.2","","5.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-17","2021","04","17","","20.7","","4.3","","12.5","","5.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-18","2021","04","18","","18.5","","5.6","","12.1","","5.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-19","2021","04","19","","13.5","","6.5","","10.0","","8.0","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-20","2021","04","20","","14.4","","5.0","","9.7","","8.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-21","2021","04","21","","14.6","","5.8","","10.2","","7.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-22","2021","04","22","","13.8","","3.4","","8.6","","9.4","","0.0","","","","","","","M","","","31","","31",""
"-125.77","49.08","TOFINO A","1038210","2021-04-23","2021","04","23","","11.0","","7.5","","9.3","","8.7","","0.0","","","","","","","M","","","15","","39",""
"-125.77","49.08","TOFINO A","1038210","2021-04-24","2021","04","24","","9.6","","6.7","","8.2","","9.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-25","2021","04","25","","11.7","","6.7","","9.2","","8.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-26","2021","04","26","","12.5","","6.6","","9.6","","8.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-27","2021","04","27","","11.6","","5.5","","8.6","","9.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-28","2021","04","28","","11.1","","8.5","","9.8","","8.2","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-04-29","2021","04","29","","13.2","","8.3","","10.8","","7.2","","0.0","","","","","","","M","","","16","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-04-30","2021","04","30","","11.6","","9.1","","10.4","","7.6","","0.0","","","","","","","M","","","11","","32",""
"-125.77","49.08","TOFINO A","1038210","2021-05-01","2021","05","01","","12.9","","6.8","","9.9","","8.1","","0.0","","","","","","","M","","","29","","48",""
"-125.77","49.08","TOFINO A","1038210","2021-05-02","2021","05","02","","12.2","","5.1","","8.7","","9.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-03","2021","05","03","","11.3","","7.3","","9.3","","8.7","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-04","2021","05","04","","13.7","","6.5","","10.1","","7.9","","0.0","","","","","","","M","","","29","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-05-05","2021","05","05","","16.2","","3.8","","10.0","","8.0","","0.0","","","","","","","M","","","22","","31",""
"-125.77","49.08","TOFINO A","1038210","2021-05-06","2021","05","06","","12.6","","5.5","","9.1","","8.9","","0.0","","","","","","","M","","","12","","55",""
"-125.77","49.08","TOFINO A","1038210","2021-05-07","2021","05","07","","11.9","","4.6","","8.3","","9.7","","0.0","","","","","","","M","","","26","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-05-08","2021","05","08","","8.6","","5.5","","7.1","","10.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-09","2021","05","09","","14.3","","6.5","","10.4","","7.6","","0.0","","","","","","","M","","","27","","32",""
"-125.77","49.08","TOFINO A","1038210","2021-05-10","2021","05","10","","14.1","","4.4","","9.3","","8.7","","0.0","","","","","","","M","","","29","","35",""
"-125.77","49.08","TOFINO A","1038210","2021-05-11","2021","05","11","","14.8","","6.1","","10.5","","7.5","","0.0","","","","","","","M","","","28","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-05-12","2021","05","12","","14.9","","9.4","","12.2","","5.8","","0.0","","","","","","","M","","","28","","32",""
"-125.77","49.08","TOFINO A","1038210","2021-05-13","2021","05","13","","16.2","","7.5","","11.9","","6.1","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-14","2021","05","14","","16.5","","6.9","","11.7","","6.3","","0.0","","","","","","","M","","","30","","34",""
"-125.77","49.08","TOFINO A","1038210","2021-05-15","2021","05","15","","18.4","","6.4","","12.4","","5.6","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-16","2021","05","16","","16.3","","6.8","","11.6","","6.4","","0.0","","","","","","","M","","","28","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-05-17","2021","05","17","","12.1","","6.7","","9.4","","8.6","","0.0","","","","","","","M","","","13","","50",""
"-125.77","49.08","TOFINO A","1038210","2021-05-18","2021","05","18","","11.5","","4.5","","8.0","","10.0","","0.0","","","","","","","M","","","29","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-05-19","2021","05","19","","13.2","","2.0","","7.6","","10.4","","0.0","","","","","","","M","","","28","","39",""
"-125.77","49.08","TOFINO A","1038210","2021-05-20","2021","05","20","","15.8","","3.2","","9.5","","8.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-21","2021","05","21","","13.5","","7.3","","10.4","","7.6","","0.0","","","","","","","M","","","28","","37",""
"-125.77","49.08","TOFINO A","1038210","2021-05-22","2021","05","22","","16.0","","7.0","","11.5","","6.5","","0.0","","","","","","","M","","","29","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-05-23","2021","05","23","","13.2","","9.7","","11.5","","6.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-24","2021","05","24","","13.1","","9.1","","11.1","","6.9","","0.0","","","","","","","M","","","17","","40",""
"-125.77","49.08","TOFINO A","1038210","2021-05-25","2021","05","25","","14.5","","9.5","","12.0","","6.0","","0.0","","","","","","","M","","","29","","37",""
"-125.77","49.08","TOFINO A","1038210","2021-05-26","2021","05","26","","11.1","","8.1","","9.6","","8.4","","0.0","","","","","","","M","","","13","","40",""
"-125.77","49.08","TOFINO A","1038210","2021-05-27","2021","05","27","","13.2","","8.3","","10.8","","7.2","","0.0","","","","","","","M","","","12","","61",""
"-125.77","49.08","TOFINO A","1038210","2021-05-28","2021","05","28","","13.7","","8.0","","10.9","","7.1","","0.0","","","","","","","M","","","29","","43",""
"-125.77","49.08","TOFINO A","1038210","2021-05-29","2021","05","29","","17.8","","5.1","","11.5","","6.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-30","2021","05","30","","16.3","","9.0","","12.7","","5.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-05-31","2021","05","31","","20.7","","12.7","","16.7","","1.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-01","2021","06","01","","24.7","","10.9","","17.8","","0.2","","0.0","","","","","","","M","","","28","","38",""
"-125.77","49.08","TOFINO A","1038210","2021-06-02","2021","06","02","","19.4","","12.4","","15.9","","2.1","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-03","2021","06","03","","15.3","","9.9","","12.6","","5.4","","0.0","","","","","","","M","","","29","","42",""
"-125.77","49.08","TOFINO A","1038210","2021-06-04","2021","06","04","","12.1","","8.9","","10.5","","7.5","","0.0","","","","","","","M","","","13","","42",""
"-125.77","49.08","TOFINO A","1038210","2021-06-05","2021","06","05","","13.4","","8.0","","10.7","","7.3","","0.0","","","","","","","M","","","28","","44",""
"-125.77","49.08","TOFINO A","1038210","2021-06-06","2021","06","06","","10.9","","7.9","","9.4","","8.6","","0.0","","","","","","","M","","","11","","40",""
"-125.77","49.08","TOFINO A","1038210","2021-06-07","2021","06","07","","14.1","","6.0","","10.1","","7.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-08","2021","06","08","","15.4","","8.6","","12.0","","6.0","","0.0","","","","","","","M","","","29","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-06-09","2021","06","09","","14.0","","6.6","","10.3","","7.7","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-10","2021","06","10","","13.7","","8.5","","11.1","","6.9","","0.0","","","","","","","M","","","14","","34",""
"-125.77","49.08","TOFINO A","1038210","2021-06-11","2021","06","11","","12.6","","10.2","","11.4","","6.6","","0.0","","","","","","","M","","","13","","46",""
"-125.77","49.08","TOFINO A","1038210","2021-06-12","2021","06","12","","18.8","","11.6","","15.2","","2.8","","0.0","","","","","","","M","","","14","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-06-13","2021","06","13","","16.3","","12.0","","14.2","","3.8","","0.0","","","","","","","M","","","14","","66",""
"-125.77","49.08","TOFINO A","1038210","2021-06-14","2021","06","14","","16.1","","11.2","","13.7","","4.3","","0.0","","","","","","","M","","","17","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-06-15","2021","06","15","","16.1","","12.1","","14.1","","3.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-16","2021","06","16","","17.9","","11.4","","14.7","","3.3","","0.0","","","","","","","M","","","28","","31",""
"-125.77","49.08","TOFINO A","1038210","2021-06-17","2021","06","17","","18.2","","8.9","","13.6","","4.4","","0.0","","","","","","","M","","","29","","36",""
"-125.77","49.08","TOFINO A","1038210","2021-06-18","2021","06","18","","16.9","","11.3","","14.1","","3.9","","0.0","","","","","","","M","","","29","","46",""
"-125.77","49.08","TOFINO A","1038210","2021-06-19","2021","06","19","","16.5","","10.6","","13.6","","4.4","","0.0","","","","","","","M","","","30","","31",""
"-125.77","49.08","TOFINO A","1038210","2021-06-20","2021","06","20","","23.2","","10.2","","16.7","","1.3","","0.0","","","","","","","M","","","30","","43",""
"-125.77","49.08","TOFINO A","1038210","2021-06-21","2021","06","21","","27.0","","11.2","","19.1","","0.0","","1.1","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-22","2021","06","22","","15.5","","11.2","","13.4","","4.6","","0.0","","","","","","","M","","","21","","49",""
"-125.77","49.08","TOFINO A","1038210","2021-06-23","2021","06","23","","15.1","","11.2","","13.2","","4.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-06-24","2021","06","24","","19.9","","11.3","","15.6","","2.4","","0.0","","","","","","","M","","","","","",""
