1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-04-23, 4:01:00 a.m.,C,9.5
2021-04-23, 5:01:00 a.m.,C,9.5
2021-04-23, 6:01:00 a.m.,C,9.5
2021-04-23, 7:01:00 a.m.,C,9.5
2021-04-23, 8:01:00 a.m.,C,9.5
2021-04-23, 9:01:00 a.m.,C,9.5
2021-04-23, 10:01:00 a.m.,C,9.5
2021-04-23, 11:01:00 a.m.,C,10
2021-04-23, 12:01:00 p.m.,C,10
2021-04-23, 1:01:00 p.m.,C,9.5
2021-04-23, 2:01:00 p.m.,C,9.5
2021-04-23, 3:01:00 p.m.,C,10
2021-04-23, 4:01:00 p.m.,C,10.5
2021-04-23, 5:01:00 p.m.,C,10.5
2021-04-23, 6:01:00 p.m.,C,10.5
2021-04-23, 7:01:00 p.m.,C,10.5
2021-04-23, 8:01:00 p.m.,C,10.5
2021-04-23, 9:01:00 p.m.,C,10
2021-04-23, 10:01:00 p.m.,C,9.5
2021-04-23, 11:01:00 p.m.,C,10
2021-04-24, 12:01:00 a.m.,C,9.5
2021-04-24, 1:01:00 a.m.,C,9.5
2021-04-24, 2:01:00 a.m.,C,9.5
2021-04-24, 3:01:00 a.m.,C,9.5
2021-04-24, 4:01:00 a.m.,C,9.5
2021-04-24, 5:01:00 a.m.,C,9.5
2021-04-24, 6:01:00 a.m.,C,9.5
2021-04-24, 7:01:00 a.m.,C,9
2021-04-24, 8:01:00 a.m.,C,9.5
2021-04-24, 9:01:00 a.m.,C,10
2021-04-24, 10:01:00 a.m.,C,9.5
2021-04-24, 11:01:00 a.m.,C,9.5
2021-04-24, 12:01:00 p.m.,C,9.5
2021-04-24, 1:01:00 p.m.,C,9.5
2021-04-24, 2:01:00 p.m.,C,9.5
2021-04-24, 3:01:00 p.m.,C,9.5
2021-04-24, 4:01:00 p.m.,C,9.5
2021-04-24, 5:01:00 p.m.,C,10
2021-04-24, 6:01:00 p.m.,C,10
2021-04-24, 7:01:00 p.m.,C,9.5
2021-04-24, 8:01:00 p.m.,C,9
2021-04-24, 9:01:00 p.m.,C,8.5
2021-04-24, 10:01:00 p.m.,C,9
2021-04-24, 11:01:00 p.m.,C,9.5
2021-04-25, 12:01:00 a.m.,C,9
2021-04-25, 1:01:00 a.m.,C,9
2021-04-25, 2:01:00 a.m.,C,9
2021-04-25, 3:01:00 a.m.,C,9
2021-04-25, 4:01:00 a.m.,C,9
2021-04-25, 5:01:00 a.m.,C,9
2021-04-25, 6:01:00 a.m.,C,9
2021-04-25, 7:01:00 a.m.,C,9
2021-04-25, 8:01:00 a.m.,C,9.5
2021-04-25, 9:01:00 a.m.,C,10.5
2021-04-25, 10:01:00 a.m.,C,11.5
2021-04-25, 11:01:00 a.m.,C,11
2021-04-25, 12:01:00 p.m.,C,10
2021-04-25, 1:01:00 p.m.,C,9.5
2021-04-25, 2:01:00 p.m.,C,9.5
2021-04-25, 3:01:00 p.m.,C,9.5
2021-04-25, 4:01:00 p.m.,C,9.5
2021-04-25, 5:01:00 p.m.,C,9.5
2021-04-25, 6:01:00 p.m.,C,9.5
2021-04-25, 7:01:00 p.m.,C,10
2021-04-25, 8:01:00 p.m.,C,9
2021-04-25, 9:01:00 p.m.,C,9
2021-04-25, 10:01:00 p.m.,C,9
2021-04-25, 11:01:00 p.m.,C,9.5
2021-04-26, 12:01:00 a.m.,C,9
2021-04-26, 1:01:00 a.m.,C,9
2021-04-26, 2:01:00 a.m.,C,9
2021-04-26, 3:01:00 a.m.,C,9
2021-04-26, 4:01:00 a.m.,C,9
2021-04-26, 5:01:00 a.m.,C,9
2021-04-26, 6:01:00 a.m.,C,9
2021-04-26, 7:01:00 a.m.,C,9
2021-04-26, 8:01:00 a.m.,C,9.5
2021-04-26, 9:01:00 a.m.,C,10.5
2021-04-26, 10:01:00 a.m.,C,12.5
2021-04-26, 11:01:00 a.m.,C,14
2021-04-26, 12:01:00 p.m.,C,17.5
2021-04-26, 1:01:00 p.m.,C,11.5
2021-04-26, 2:01:00 p.m.,C,9.5
2021-04-26, 3:01:00 p.m.,C,9.5
2021-04-26, 4:01:00 p.m.,C,9.5
2021-04-26, 5:01:00 p.m.,C,9.5
2021-04-26, 6:01:00 p.m.,C,9.5
2021-04-26, 7:01:00 p.m.,C,9.5
2021-04-26, 8:01:00 p.m.,C,9.5
2021-04-26, 9:01:00 p.m.,C,9
2021-04-26, 10:01:00 p.m.,C,9.5
2021-04-26, 11:01:00 p.m.,C,9.5
2021-04-27, 12:01:00 a.m.,C,9.5
2021-04-27, 1:01:00 a.m.,C,9
2021-04-27, 2:01:00 a.m.,C,9
2021-04-27, 3:01:00 a.m.,C,9
2021-04-27, 4:01:00 a.m.,C,9
2021-04-27, 5:01:00 a.m.,C,9
2021-04-27, 6:01:00 a.m.,C,8.5
2021-04-27, 7:01:00 a.m.,C,8.5
2021-04-27, 8:01:00 a.m.,C,9
2021-04-27, 9:01:00 a.m.,C,9.5
2021-04-27, 10:01:00 a.m.,C,11.5
2021-04-27, 11:01:00 a.m.,C,13.5
