date,tide_height_m,hour,site_code
2021-06-27,1,12,PP
2021-06-27,1.7,13,PP
2021-06-27,2.3,14,PP
2021-06-27,2.7,15,PP
2021-06-27,2.9,16,PP
2021-06-27,2.7,17,PP
2021-06-27,2.4,18,PP
2021-06-27,1.9,19,PP
2021-06-27,1.6,20,PP
2021-06-27,1.4,21,PP
2021-06-27,1.4,22,PP
2021-06-27,1.7,23,PP
2021-06-28,2.2,0,PP
2021-06-28,2.7,1,PP
2021-06-28,3.1,2,PP
2021-06-28,3.3,3,PP
2021-06-28,3.3,4,PP
2021-06-28,2.9,5,PP
2021-06-28,2.3,6,PP
2021-06-28,1.6,7,PP
2021-06-28,0.9,8,PP
2021-06-28,0.4,9,PP
2021-06-28,0.2,10,PP
2021-06-28,0.3,11,PP
2021-06-28,0.7,12,PP
2021-06-28,1.3,13,PP
2021-06-28,1.9,14,PP
2021-06-28,2.4,15,PP
2021-06-28,2.8,16,PP
2021-06-28,2.8,17,PP
2021-06-28,2.7,18,PP
2021-06-28,2.3,19,PP
2021-06-28,1.9,20,PP
2021-06-28,1.6,21,PP
2021-06-28,1.4,22,PP
2021-06-28,1.4,23,PP
2021-06-29,1.7,0,PP
2021-06-29,2.1,1,PP
2021-06-29,2.6,2,PP
2021-06-29,2.9,3,PP
2021-06-29,3.1,4,PP
2021-06-29,3,5,PP
2021-06-29,2.7,6,PP
2021-06-29,2.1,7,PP
2021-06-29,1.5,8,PP
2021-06-29,0.9,9,PP
2021-06-29,0.5,10,PP
2021-06-29,0.4,11,PP
2021-06-29,0.6,12,PP
2021-06-29,1,13,PP
2021-06-29,1.5,14,PP
2021-06-29,2.1,15,PP
2021-06-29,2.5,16,PP
2021-06-29,2.8,17,PP
2021-06-29,2.8,18,PP
2021-06-29,2.6,19,PP
2021-06-29,2.3,20,PP
2021-06-29,1.9,21,PP
2021-06-29,1.6,22,PP
2021-06-29,1.4,23,PP
2021-06-25,3.1,0,KE
2021-06-25,3.1,1,KE
2021-06-25,3,2,KE
2021-06-25,2.8,3,KE
2021-06-25,2.3,4,KE
2021-06-25,1.7,5,KE
2021-06-25,1,6,KE
2021-06-25,0.5,7,KE
2021-06-25,0,8,KE
2021-06-25,-0.2,9,KE
2021-06-25,-0.1,10,KE
2021-06-25,0.2,11,KE
2021-06-25,0.8,12,KE
2021-06-25,1.2,13,KE
2021-06-25,1.6,14,KE
2021-06-25,1.9,15,KE
2021-06-25,2,16,KE
2021-06-25,2,17,KE
2021-06-25,1.9,18,KE
2021-06-25,1.9,19,KE
