replicate,AMPH,AMSP,ANNE,DIPT,DYSH,EMGR,HAOC,LISC,LISI,LODI,LOPA,LOPE,LOSC,MUCH,MYSP,NERE,NULA,NUOS,OESP,ONBI,PAHI,PAPE,PLAT,POLN,QUBI,SPIO,SYLL,collection_number,CUPS,CYFE,HYME,KATU,LARU,PEWO,ANEL,NEMA,SABE,GNOR,HENU,NUCA,TERE,COLE,BIV1,PHAG,LAVI,TEFU,LERU,OENO,POLY,CYDE,DEPA,site_code,collection_date
4,0,18,0,0,2,0,0,1,0,36,4,4,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,12,0,5,13,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-09-11
5,0,8,0,0,12,0,0,11,17,23,0,0,0,0,15,0,0,0,2,2,0,0,0,0,0,0,2,12,0,0,2,0,524,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-09-11
6,0,17,0,0,2,0,0,0,2,22,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-09-11
7,0,9,0,0,2,0,0,0,1,28,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-09-11
8,0,14,0,1,29,1,0,16,7,39,8,0,0,0,35,0,0,2,4,4,0,0,0,0,0,0,2,12,0,11,3,0,417,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,PP,2021-09-11
1,0,24,0,2,4,26,0,18,2,89,83,9,0,0,260,8,0,1,0,16,0,1,2,0,0,3,19,11,0,2,12,0,40,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,WBS,2021-08-25
2,3,25,0,9,8,2,0,13,0,12,48,9,0,9,303,3,0,11,0,0,0,1,0,1,0,1,9,11,0,0,2,0,72,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,WBS,2021-08-25
3,0,9,1,4,10,2,0,35,0,30,33,3,0,2,265,1,0,3,0,0,0,1,1,0,0,1,25,11,0,0,6,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,WBS,2021-08-25
4,0,30,7,5,17,3,0,56,0,50,30,11,0,0,501,0,0,8,0,0,0,0,0,0,0,0,1,11,0,0,10,0,250,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,WBS,2021-08-25
5,0,23,1,4,12,5,0,0,0,36,54,0,0,7,584,1,0,3,0,4,0,0,0,0,1,0,26,11,0,0,84,0,138,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,WBS,2021-08-25
1,0,12,0,0,15,1,0,12,0,24,23,2,0,0,13,3,0,0,0,7,0,0,0,0,1,8,9,10,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
2,0,63,0,0,18,8,0,10,1,33,22,0,0,0,3,0,0,0,0,10,0,0,0,0,1,1,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
3,0,24,0,0,146,3,0,0,0,34,25,1,0,0,14,1,0,0,0,21,0,0,2,0,1,4,3,10,0,26,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
4,0,23,0,0,28,1,0,15,1,4,12,5,0,0,7,0,0,0,0,15,0,0,2,0,0,2,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
5,0,25,0,0,66,4,0,34,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
6,0,49,0,0,46,2,0,2,0,4,15,5,0,0,3,0,0,0,0,26,0,0,0,0,5,23,9,10,0,20,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SA,2021-08-22
7,0,14,0,0,78,0,0,1,0,11,33,6,1,0,2,0,0,0,0,9,0,0,0,0,6,11,6,10,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
8,0,56,0,0,16,0,0,0,0,23,12,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-08-22
1,0,11,0,0,10,1,0,0,3,19,14,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,10,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
2,0,8,0,0,11,0,0,0,0,19,26,0,0,0,10,1,0,0,0,1,0,0,1,0,0,0,7,1,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
3,0,11,0,0,90,5,0,24,5,33,28,0,0,0,92,4,0,0,0,8,0,2,2,0,1,0,9,1,0,35,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
4,0,19,0,0,15,6,0,0,6,19,15,0,0,0,12,0,0,0,0,6,0,0,0,0,1,0,16,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
5,2,21,14,0,154,7,0,5,57,33,51,0,0,0,160,1,0,3,0,2,0,0,0,0,0,0,6,1,0,6,0,0,304,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PP,2021-04-13
6,1,16,1,0,9,5,0,0,0,10,13,0,0,0,24,1,0,2,0,13,0,1,0,0,0,0,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
7,0,9,0,0,4,1,0,6,0,17,24,0,0,0,12,0,0,1,0,5,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PP,2021-04-13
8,0,22,38,0,253,2,0,3,40,38,33,0,0,0,143,3,0,5,0,0,0,0,0,0,0,0,14,1,0,3,13,0,543,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP,2021-04-13
